FF 118; FL 346; FR  75; LL 223; RR 112; ER      10054; EL     10383
FF 224; FL 334; FR  89; LL 225; RR  92; ER      10053; EL     10383
FF 233; FL 334; FR  92; LL 224; RR  93; ER      10018; EL     10403
FF 999; FL 999; FR 110; LL 999; RR  85; ER       9968; EL     10428
FF 327; FL 270; FR 146; LL 999; RR  80; ER       9926; EL     10443
FF 335; FL 233; FR 224; LL 999; RR  96; ER       9868; EL     10469
FF 999; FL 999; FR 320; LL 193; RR 110; ER       9822; EL     10491
FF 255; FL 999; FR 345; LL 139; RR 139; ER       9776; EL     10522
FF 242; FL 999; FR 329; LL 100; RR 223; ER       9739; EL     10550
FF 999; FL 230; FR 304; LL  83; RR 999; ER       9690; EL     10588
FF 999; FL 147; FR 234; LL  74; RR 402; ER       9689; EL     10589
FF 999; FL 144; FR 234; LL  76; RR 394; ER       9689; EL     10589
FF 999; FL 148; FR 232; LL  76; RR 391; ER       9689; EL     10589
FF 999; FL 143; FR 232; LL  76; RR 398; ER       9689; EL     10589
FF 999; FL 145; FR 229; LL  75; RR 393; ER       9689; EL     10589
FF 999; FL 147; FR 228; LL  76; RR 393; ER       9689; EL     10589
FF 999; FL 148; FR 234; LL  77; RR 396; ER       9689; EL     10589
FF 999; FL 151; FR 229; LL  76; RR 395; ER       9689; EL     10589
FF 999; FL 145; FR 227; LL  74; RR 398; ER       9689; EL     10589
FF 999; FL 146; FR 230; LL  74; RR 404; ER       9689; EL     10589
FF 999; FL 148; FR 226; LL  73; RR 399; ER       9689; EL     10589
FF 999; FL 146; FR 232; LL  75; RR 392; ER       9725; EL     10622
FF 999; FL 150; FR 222; LL  77; RR 395; ER       9791; EL     10680
F1 999; FL 159; FR 213; LL  74; RR 389; ER       9862; EL     10740
FF 999; FL 169; FR 207; LL  76; RR 397; ER       9930; EL     10801
FF 999; FL 178; FR 205; LL  78; RR 391; ER       9998; EL     10864
FF 999; FL 185; FR 199; LL  79; RR 388; ER      10076; EL     10935
FF 999; FL 197; FR 188; LL  85; RR 394; ER      10148; EL     10996
FF 999; FL 203; FR 185; LL  90; RR 393; ER      10130; EL     11044
FF 999; FL 163; FR 212; LL  93; RR 231; ER      10090; EL     11078
FF 999; FL 132; FR 999; LL 100; RR 150; ER      10139; EL     11121
